epoch,step,global_step,loss,avg_epoch_loss,elapsed_sec
1,50,50,0.34366053,0.23441094,13.26
1,100,100,0.20448586,0.20852912,26.40
1,150,150,0.11559373,0.19260449,39.53
1,200,200,0.13743865,0.18052235,52.67
1,250,250,0.13197325,0.17237008,65.79
1,300,300,0.13204412,0.16510688,78.92
1,350,350,0.13548186,0.16079048,92.07
1,400,400,0.14694187,0.15555696,105.19
1,450,450,0.09557325,0.15169568,118.33
1,500,500,0.10034284,0.14806848,131.45
1,550,550,0.11320967,0.14508711,144.57
1,600,600,0.09126674,0.14147412,157.71
1,650,650,0.09770669,0.13894345,170.83
1,700,700,0.13830213,0.13670791,183.97
1,750,750,0.07981349,0.13453055,197.11
1,800,800,0.08625329,0.13188282,210.25
